kernel-module-max17042-battery-6.13.1 kernel-module-max17042-battery-6.13.1 linux-stable 6.13.1 19
kernel-module-libdes-6.13.1 kernel-module-libdes-6.13.1 linux-stable 6.13.1 19
kernel-module-esp6-6.13.1 kernel-module-esp6-6.13.1 linux-stable 6.13.1 19
kernel-module-btmrvl-6.13.1 kernel-module-btmrvl-6.13.1 linux-stable 6.13.1 19
kernel-module-btbcm-6.13.1 kernel-module-btbcm-6.13.1 linux-stable 6.13.1 19
python3-terminal python3-terminal python3 3.12.6 18
python3-gdbm python3-gdbm python3 3.12.6 18
netbase netbase netbase 6.4 18
libnl-genl-3-200 libnl-genl libnl 3.9.0 18
libattr1 libattr attr 2.5.1 18
kernel-module-u-serial-6.13.1 kernel-module-u-serial-6.13.1 linux-stable 6.13.1 18
kernel-module-rt2x00usb-6.13.1 kernel-module-rt2x00usb-6.13.1 linux-stable 6.13.1 18
kernel-module-musb-dsps-6.13.1 kernel-module-musb-dsps-6.13.1 linux-stable 6.13.1 18
kernel-module-gcm-6.13.1 kernel-module-gcm-6.13.1 linux-stable 6.13.1 18
kernel-module-fsi-sbefifo-6.13.1 kernel-module-fsi-sbefifo-6.13.1 linux-stable 6.13.1 18
kernel-module-aes-arm-ce-6.13.1 kernel-module-aes-arm-ce-6.13.1 linux-stable 6.13.1 18
kernel-module-aes-arm-bs-6.13.1 kernel-module-aes-arm-bs-6.13.1 linux-stable 6.13.1 18
python3-fcntl python3-fcntl python3 3.12.6 17
libxdmcp6 libxdmcp libxdmcp 1.1.4 17
kernel-module-virtio-rpmsg-bus-6.13.1 kernel-module-virtio-rpmsg-bus-6.13.1 linux-stable 6.13.1 17
kernel-module-tusb6010-6.13.1 kernel-module-tusb6010-6.13.1 linux-stable 6.13.1 17
kernel-module-st-sensors-6.13.1 kernel-module-st-sensors-6.13.1 linux-stable 6.13.1 17
kernel-module-st-accel-i2c-6.13.1 kernel-module-st-accel-i2c-6.13.1 linux-stable 6.13.1 17
kernel-module-sha512-arm-6.13.1 kernel-module-sha512-arm-6.13.1 linux-stable 6.13.1 17
kernel-module-sha256-arm-6.13.1 kernel-module-sha256-arm-6.13.1 linux-stable 6.13.1 17
kernel-module-rpmsg-core-6.13.1 kernel-module-rpmsg-core-6.13.1 linux-stable 6.13.1 17
kernel-module-ntc-thermistor-6.13.1 kernel-module-ntc-thermistor-6.13.1 linux-stable 6.13.1 17
kernel-module-ina2xx-6.13.1 kernel-module-ina2xx-6.13.1 linux-stable 6.13.1 17
kernel-module-c-can-6.13.1 kernel-module-c-can-6.13.1 linux-stable 6.13.1 17
kernel-module-b53-srab-6.13.1 kernel-module-b53-srab-6.13.1 linux-stable 6.13.1 17
kernel-module-vf610-adc-6.13.1 kernel-module-vf610-adc-6.13.1 linux-stable 6.13.1 16
kernel-module-rtc-pcf85063-6.13.1 kernel-module-rtc-pcf85063-6.13.1 linux-stable 6.13.1 16
kernel-module-crypto-engine-6.13.1 kernel-module-crypto-engine-6.13.1 linux-stable 6.13.1 16
kernel-module-cppi41-6.13.1 kernel-module-cppi41-6.13.1 linux-stable 6.13.1 16
kernel-module-ccm-6.13.1 kernel-module-ccm-6.13.1 linux-stable 6.13.1 16
kernel-module-st-accel-6.13.1 kernel-module-st-accel-6.13.1 linux-stable 6.13.1 15
kernel-module-phy-twl4030-usb-6.13.1 kernel-module-phy-twl4030-usb-6.13.1 linux-stable 6.13.1 15
kernel-module-mms114-6.13.1 kernel-module-mms114-6.13.1 linux-stable 6.13.1 15
kernel-module-max17040-battery-6.13.1 kernel-module-max17040-battery-6.13.1 linux-stable 6.13.1 15
kernel-module-amlogic-gxl-crypto-6.13.1 kernel-module-amlogic-gxl-crypto-6.13.1 linux-stable 6.13.1 15
python3-syslog python3-syslog python3 3.12.6 14
python3-resource python3-resource python3 3.12.6 14
kernel-module-usb-f-ecm-6.13.1 kernel-module-usb-f-ecm-6.13.1 linux-stable 6.13.1 14
kernel-module-ucsi-stm32g0-6.13.1 kernel-module-ucsi-stm32g0-6.13.1 linux-stable 6.13.1 14
kernel-module-samsung-keypad-6.13.1 kernel-module-samsung-keypad-6.13.1 linux-stable 6.13.1 14
kernel-module-s3fwrn5-6.13.1 kernel-module-s3fwrn5-6.13.1 linux-stable 6.13.1 14
kernel-module-rtc-rs5c372-6.13.1 kernel-module-rtc-rs5c372-6.13.1 linux-stable 6.13.1 14
kernel-module-pwm-fan-6.13.1 kernel-module-pwm-fan-6.13.1 linux-stable 6.13.1 14
kernel-module-omap2430-6.13.1 kernel-module-omap2430-6.13.1 linux-stable 6.13.1 14
kernel-module-jitterentropy-rng-6.13.1 kernel-module-jitterentropy-rng-6.13.1 linux-stable 6.13.1 14
kernel-module-drbg-6.13.1 kernel-module-drbg-6.13.1 linux-stable 6.13.1 14
kernel-module-tpm-i2c-infineon-6.13.1 kernel-module-tpm-i2c-infineon-6.13.1 linux-stable 6.13.1 13
